MtoS.X,MtoS.Y,MtoS.Z,MtoS.rX,MtoS.rY,MtoS.rZ,A_x,StoFRC.X,StoFRC.Y,StoFRC.Z,StoFRC.rX,StoFRC.rY,StoFRC.rZ
0.000,-0.005,0.458,0.077748,-0.025712,-0.024178,-0.013467,-109.138,-0.011,2.255,0.077428,0.133093,0.022768,
0.000,-0.005,0.458,0.077748,-0.025712,-0.024178,-0.013467,-109.138,-0.011,2.255,0.077428,0.133093,0.022768,
0.000,-0.005,0.458,0.077748,-0.025712,-0.024178,-0.013467,-109.138,-0.011,2.255,0.077428,0.133093,0.022768,
0.000,-0.054,-0.027,0.021661,-0.002836,0.002959,0.022583,0.150,-0.280,0.013,0.021657,-0.002615,0.018022,
0.000,-0.054,-0.027,0.021661,-0.002836,0.002959,0.022583,0.150,-0.280,0.013,0.021657,-0.002615,0.018022,
0.000,-0.054,-0.027,0.021661,-0.002836,0.002959,0.022583,0.150,-0.280,0.013,0.021657,-0.002615,0.018022,
0.000,-0.011,0.013,0.788313,-0.003707,-0.013085,-0.002019,537.567,-0.373,29.886,0.788301,-0.001439,-0.013844,
0.000,-0.011,0.013,0.788313,-0.003707,-0.013085,-0.002019,537.567,-0.373,29.886,0.788301,-0.001439,-0.013844,
0.000,-3.637,95.108,6.761140,14.420466,4.810912,-13.044229,132.811,27.141,-122.274,0.022581,-86.585963,-12.468302,
0.000,60.034,128.598,-22.442280,89.998817,-3.876201,0.007597,152.525,-22.612,-60.900,-154.213607,0.757693,-0.434665,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,0.000000,0.000000,0.000000,
0.000,-102.802,97.864,40.686542,90.006988,4.427928,0.001042,158.952,-22.654,-42.343,127.176012,-26.078792,-30.275459,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,0.000000,0.000000,0.000000,
0.000,60.034,128.598,-22.442280,89.998817,-3.876201,0.007597,152.525,-22.612,-60.900,-154.213607,0.757693,-0.434665,
0.000,60.034,128.598,-22.442263,89.998816,-3.876219,0.007598,152.525,-22.612,-60.900,-154.213607,0.757692,-0.434663,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,0.000000,0.000000,0.000000,
0.000,-0.153,-0.533,-15.658748,0.005088,0.002459,0.007390,157.655,-22.606,-60.823,-74.877623,-0.287727,-0.829515,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,0.000000,0.000000,0.000000,
0.000,-0.153,-0.533,-15.658748,0.005088,0.002459,0.007390,157.655,-22.606,-60.823,-74.877623,-0.287727,-0.829515,
0.000,-0.468,-0.775,-90.431791,-0.013466,-2.108091,-27.367306,176.917,-22.635,-60.148,0.405507,-1.075155,2.475893,
0.000,-0.599,-0.597,-90.579896,-0.241854,-1.524471,-21.471872,173.265,-22.801,-57.713,0.658952,-0.864585,1.697951,
0.000,-0.153,-0.533,-15.658748,0.005088,0.002459,0.007390,157.655,-22.606,-60.823,-74.877623,-0.287727,-0.829515,
0.000,-0.467,-0.776,-90.431911,-0.012674,-2.107039,-27.366453,176.916,-22.636,-60.148,0.405549,-1.076709,2.475673,
-23.586,-0.573,0.005,-90.626999,0.017014,0.003084,0.000000,181.240,-22.584,-60.437,0.098318,-0.885276,0.065054,
-23.586,-0.572,0.005,-90.627242,0.017414,0.003659,0.000000,181.240,-22.585,-60.437,0.098351,-0.885512,0.064440,
-23.586,-0.572,0.005,-90.627242,0.017414,0.003659,0.000000,181.240,-22.585,-60.437,0.098351,-0.885512,0.064440,
-23.586,-0.572,0.005,-90.627242,0.017414,0.003659,0.000000,181.240,-22.585,-60.437,0.098351,-0.885512,0.064440,
-23.586,-0.572,0.005,-90.627242,0.017414,0.003659,0.000000,181.240,-22.585,-60.437,0.098351,-0.885512,0.064440,
-23.586,-0.572,0.005,-90.627242,0.017414,0.003659,0.000000,181.240,-22.585,-60.437,0.098351,-0.885512,0.064440,
-23.586,-0.572,0.005,-90.627242,0.017414,0.003659,0.000000,181.240,-22.585,-60.437,0.098351,-0.885512,0.064440,
-23.586,-0.572,0.005,-90.627242,0.017414,0.003659,0.000000,181.240,-22.585,-60.437,0.098351,-0.885512,0.064440,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
-23.586,-0.572,0.005,-90.627242,0.017414,0.003659,0.000000,181.240,-22.585,-60.437,0.098351,-0.885512,0.064440,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
-23.585,-0.005,-0.572,-0.626953,0.017300,0.004229,0.000000,181.239,-22.584,-60.437,0.098021,-0.885869,0.064404,
